deu_2012,xbnl_2012,xfra_2012
63378600,25649000,82158000
61591200,25070800,78937300
60361700,24761100,77466000
59606000,24833200,77632000
64132000,26515600,81083400
69252600,28742400,88562900
68563600,28675600,88558000
65996400,27881400,86101500
65008400,26534000,83069400
67418000,25795100,85872600
65147600,24690200,84588900
62570000,23354100,81385900
60353600,22418400,81533300
59108000,21653900,80022700
58049800,21378200,77969900
58880200,21314700,77905000
62398600,22124600,81706100
71251600,25064700,87706400
78436800,28723400,90986000
80279400,30311000,91862100
81537700,31245400,92553500
83004200,31397400,92196000
84070400,31551700,92137100
84376400,30972700,91631300
83969200,31176100,89264200
82668300,30899700,86486500
80776300,30727700,84978800
78653000,30414000,84985700
81410000,31027300,88118900
84211900,32407700,94923600
83299800,31712600,92957200
79426000,30487500,88785800
76957700,29049500,84766700
75974300,28186900,87339000
72484600,27089900,86386300
69693100,25143300,82739400
67604400,24046800,84623300
65598500,23308100,83181400
64204400,22922100,81056900
63992800,22897900,81005800
66162000,23626900,84861900
73568100,26284300,91456400
80748700,29738900,94474700
82371600,31123700,94935400
82843200,32278600,95215300
83847300,32535800,94110300
84551200,32678400,93480700
83971500,32220400,92652700
84308500,32127800,90549900
83573500,31762700,88217100
82671800,31428600,87226100
80909700,31332900,87993200
83364200,32322400,91590000
85099800,33590700,99202000
84214200,32815600,97165900
80064300,31327400,93150700
77142900,29811400,89344700
75909900,28879600,91925900
72231600,27714000,90586200
68683300,25949300,86624000
66332300,24706800,88778000
64203300,23920700,86775300
63068100,23524000,84637000
63370600,23331300,84730300
66320800,23938900,87878300
73372600,26624000,92824600
80526700,30019600,95968600
82967400,31668100,97520500
83618400,32489700,98219800
84537400,32715900,97948800
85327600,32535200,98084300
85144700,32139600,97394800
84226800,32194300,95324300
82967400,31724900,93040700
81691800,31483500,91310100
80067800,31062500,91253100
82814400,31602600,93939400
85660000,32928400,100280000
84448800,32195100,98094100
80930400,30733600,93438500
77842200,29345700,89258300
76333100,28383000,92059500
71853200,27364000,90765000
68511900,25435300,87246700
65928600,24355800,89592200
64126200,23537000,88049200
63164700,23211700,85531800
63171600,23079100,85362900
65641000,23741600,88802500
72897500,26186200,94612200
79848100,29648600,97438000
81820700,31045700,97999800
82413000,32065800,97774900
83394100,32075500,95689700
84254400,32428900,95432400
83521800,32058000,94314600
83106600,32053700,91732400
81833300,31696700,89236700
80858000,31444100,87629800
79394900,31268200,87829200
81319200,31734700,90822900
83690900,32539500,98198200
82413000,31972900,95402900
78512700,30599900,91334600
75928300,29027100,87346900
74636600,28350400,89513600
70915800,27363000,88158200
67764300,25443500,84851100
65610000,24231500,86913800
64232000,23589300,84867800
63550000,23277200,82719800
63829500,23191900,82704100
65999900,23740700,85822500
72814700,26310200,91912200
79463900,29433700,95150500
81310000,30880200,95164200
81800000,31983000,95033600
83084700,31966800,93640800
83669000,32183400,92966100
83420600,31616300,91884700
81860900,31319400,88920400
80205800,30914400,86076900
78689900,30466700,84486700
77173900,30177300,84227400
79766400,30757400,87427400
83483800,32043700,94782200
81823000,31416300,92730300
77723700,29984900,89280900
74716000,28451400,86398100
